Real-time data - subject to revision
Copyright Environment Canada(2023)

"Real-Time Hydrometric Data for STUART RIVER NEAR FORT ST. JAMES (08JE001) [BC]"

08JE001,"STUART RIVER NEAR FORT ST. JAMES"
Description of parameters:
5,"Water temperature (No Quality Assurance)",°C

Date (PST),Parameter ,Value(°C)
2022-09-26 19:00:00,5,15.62
2022-09-26 20:00:00,5,15.44
2022-09-26 21:00:00,5,15.32
2022-09-26 22:00:00,5,15.24
2022-09-26 23:00:00,5,15.13
2022-09-27 00:00:00,5,14.96
2022-09-27 01:00:00,5,14.78
2022-09-27 02:00:00,5,14.62
2022-09-27 03:00:00,5,14.48
2022-09-27 04:00:00,5,14.27
2022-09-27 05:00:00,5,14.12
2022-09-27 06:00:00,5,14
2022-09-27 07:00:00,5,13.84
2022-09-27 08:00:00,5,13.75
2022-09-27 09:00:00,5,13.71
2022-09-27 10:00:00,5,13.89
2022-09-27 11:00:00,5,14.23
2022-09-27 12:00:00,5,14.66
2022-09-27 13:00:00,5,15.07
2022-09-27 14:00:00,5,15.46
2022-09-27 15:00:00,5,15.74
2022-09-27 16:00:00,5,15.89
2022-09-27 17:00:00,5,15.85
2022-09-27 18:00:00,5,15.75
2022-09-27 19:00:00,5,15.59
2022-09-27 20:00:00,5,15.47
2022-09-27 21:00:00,5,15.34
2022-09-27 22:00:00,5,15.18
2022-09-27 23:00:00,5,15.04
2022-09-28 00:00:00,5,14.88
2022-09-28 01:00:00,5,14.72
2022-09-28 02:00:00,5,14.56
2022-09-28 03:00:00,5,14.42
2022-09-28 04:00:00,5,14.26
2022-09-28 05:00:00,5,14.13
2022-09-28 06:00:00,5,13.99
2022-09-28 07:00:00,5,13.88
2022-09-28 08:00:00,5,13.82
2022-09-28 09:00:00,5,13.83
2022-09-28 10:00:00,5,14.03
2022-09-28 11:00:00,5,14.27
2022-09-28 12:00:00,5,14.6
2022-09-28 13:00:00,5,14.83
2022-09-28 14:00:00,5,15.07
2022-09-28 15:00:00,5,15.29
2022-09-28 16:00:00,5,15.39
2022-09-28 17:00:00,5,15.31
2022-09-28 18:00:00,5,15.18
2022-09-28 19:00:00,5,15
2022-09-28 20:00:00,5,14.94
2022-09-28 21:00:00,5,14.9
2022-09-28 22:00:00,5,14.81
2022-09-28 23:00:00,5,14.67
